Headword,Definition,"Part of Speech","Semantic Group","Frequency Rank"
"amīcus -a -um","dostça; (nesne) dost","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",198
"āmittō -mittere -mīsī -missum","uzaklaştırmak, göndermek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",486
"amnis -is m.","nehir, sağanak","İsim: 3. Çekim Grubu","Toprak ve Su",467
"amō -āre","aşık olmak; amāns -ntis m./f.: aşık","Fiil: 1. Çekim Grubu",Aşk,219
"amor -ōris m.",aşk,"İsim: 3. Çekim Grubu",Aşk,116
"amplus -a -um","vâsi, büyük","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,915
an,"veya (soru); utrum ... an: ya ... veya",Bağlaç,"Bağlaç / Zarf",94
"anima -ae f.","soluk, ruh","İsim: 1. Çekim Grubu","Yaşam ve Varlık",493
"animal -ālis n.","canlı varlık, hayvan","İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",547
"animus -ī m.","ruh, zihin","İsim: 2. Çekim Grubu","Yaşam ve Varlık",40
"annus -ī m.",yıl,"İsim: 2. Çekim Grubu","Zamanın Müddetleri",167
ante,"önünde, -den evvel (zarf., edat + acc.)",Edat,Zaman,112
antequam,öncesinde,Bağlaç,Zaman,787
"antīquus -a -um","antik, kadim, eski","Sıfat: 1. ve 2. Çekim Grubu","Zamanın Müddetleri",617
"aperiō aperīre aperuī apertum",açmak,"Fiil: 4. Çekim Grubu","Ev / Hane",837
"appāreō -ēre -uī","görünmek, görünür olmak","Fiil: 2. Çekim Grubu","Görü / Görüntü",830
"appellō -pellāre","hitap etmek, çağırmak, adlandırmak","Fiil: 1. Çekim Grubu","Sosyal Yaşam",700
"aptus -a -um","uygun, elverişli","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",916
apud,"yakınında, huzurunda (+acc.)",Edat,Yer,205
"aqua -ae f.",su,"İsim: 1. Çekim Grubu","Toprak ve Su",272
"āra -ae f.",sunak,"İsim: 1. Çekim Grubu",Din,374
"arbitror arbitrārī arbitrātus sum","kanısında olmak, addetmek","Fiil: Deponens [etken anlamlı edilgen yapılı]","Eğitim / Bilgi",963
"arbor arboris f.",ağaç,"İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",468
"ārdeō ārdēre ārsī ārsum","yanmak, alevlenmek, şiddetle arzulamak","Fiil: 2. Çekim Grubu","Hava ve Ateş",618
"argentum -ī n.","gümüş, para","İsim: 2. Çekim Grubu","İş / Para",849
"arma -ōrum n. pl.","silah, zırh","İsim: 2. Çekim Grubu","Savaş ve Barış",98
"ars artis f.",zanaat,"İsim: 3. Çekim Grubu","Eğitim / Bilgi",258
"arvum -ī n.","işlenmiş toprak, tarla","İsim: 2. Çekim Grubu","Hayvanlar / Bitkiler",637
"arx arcis f.","kale, hisar; zirve","İsim: 3. Çekim Grubu",Kent,638
"ascendō -ere -scendī -scēnsum","tırmanmak, yükselmek","Fiil: 3. Çekim Grubu, -ō bitimli",Seyahat,990
"aspiciō -ere -spēxī -spectum","müşahade etmek, seyretmek","Fiil: 3. Çekim Grubu, -iō bitimli","Görü / Görüntü",483
"adsum adesse affuī","mevcut olmak","Fiil: Düzensiz",Yer,279
"astrum -ī n.","yıldız; takımyıldız","İsim: 2. Çekim Grubu","Hava ve Ateş",685
at,"ama, ancak",Bağlaç,"Bağlaç / Zarf",74
atque,"ve hatta, yine de, ve; (karşılaştırmalardan sonra) -den; simul atque, mümkün olduğunca çabuk; → ac",Bağlaç,"Bağlaç / Zarf",35
"auctor -ōris m.","üreten kimse, kurucu","İsim: 3. Çekim Grubu","Yazı / Şiir",546
"auctōritās -ātis f.","rehberlik, itibar, otorite","İsim: 3. Çekim Grubu","Sosyal Yaşam",898
"audāx audācis","atılgan, pervasız; küstah","Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",876
"audeō audēre ausus sum","cüret etmek, göze almak","Fiil: 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",270
"audiō -īre -īvī/-iī -ītum","duymak, dinlemek","Fiil: 4. Çekim Grubu","Diğer Duyular",165
"auferō auferre abstulī ablātum","alıp götürmek","Fiil: Düzensiz","Getir - Götür Fiilleri",556
"augeō augēre auxī auctum",artırmak,"Fiil: 2. Çekim Grubu","Yapma / Etme",709
"avis -is f.",kuş,"İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",855
"aura -ae f.",esinti,"İsim: 1. Çekim Grubu","Hava ve Ateş",420
"aureus -a -um","altından yapılma; görkemli","Sıfat: 1. ve 2. Çekim Grubu","İş / Para",691
"auris -is f.",kulak,"İsim: 3. Çekim Grubu",Beden,366
"aurum -ī n.",altın,"İsim: 2. Çekim Grubu","İş / Para",303
aut,yahut,Bağlaç,"Bağlaç / Zarf",24
autem,"öte yandan, fakat, ancak",Bağlaç,"Bağlaç / Zarf",123
"auxilium -ī n.","yardım, destek; (pl.) destek birlikler","İsim: 2. Çekim Grubu","Savaş ve Barış",543
"barbarus -ī m.","yabancı, barbar","İsim: 2. Çekim Grubu","Savaş ve Barış",768
"beātus -a -um","mutlu, müreffeh, zengin, varlıklı","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",408
"bellum -ī n.",savaş,"İsim: 2. Çekim Grubu","Savaş ve Barış",86
bene,âlâ!,Zarf,"Kişisel Özellikler / Nitelikler",235
"beneficium -ī n.","iyilik, lütuf","İsim: 2. Çekim Grubu","Sosyal Yaşam",182
"bonus -a -um",iyi,"Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",68
"bōs bovis m.","öküz; gen. pl. boum","İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",808
"brevis -e","kısa, sığ, küçük","Sıfat: 3. Çekim Grubu",Ölçüm,589
breviter,kısaca,Zarf,Ölçüm,992
"cadō cadere cecidī cāsum","düşmek, öldürülmek","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,210
"caecus -a -um","kör, görmeyen; karanlık, müphem","Sıfat: 1. ve 2. Çekim Grubu","Görü / Görüntü",728
"caedēs -is f.","öldürme, katliam","İsim: 3. Çekim Grubu",Şiddet,415
"caedō caedere cecīdī caesum","dövmek, öldürmek, kesmek","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,612
"caelestis -e","göksel, semavi; caelestēs, tanrılar","Sıfat: 3. Çekim Grubu","Hava ve Ateş",960
"caelum -ī n.","gök, sema","İsim: 2. Çekim Grubu","Hava ve Ateş",117
"campus -ī m.","ova, çayır","İsim: 2. Çekim Grubu","Toprak ve Su",391
"candidus -a -um","beyaz, adil","Sıfat: 1. ve 2. Çekim Grubu","Görü / Görüntü",692
"canis -is m./f.",köpek,"İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",687
"canō canere cecinī cantum","şarkı söylemek","Fiil: 3. Çekim Grubu, -ō bitimli","Yazı / Şiir",389
"capiō capere cēpī captum","ele geçirmek","Fiil: 3. Çekim Grubu, -iō bitimli","Savaş ve Barış",131
"caput capitis n.",kafa,"İsim: 3. Çekim Grubu",Beden,124
"careō -ēre -uī","yoksun olmak (+ abl.)","Fiil: 2. Çekim Grubu","İş / Para",572
"carmen -inis n.",şarkı,"İsim: 3. Çekim Grubu","Yazı / Şiir",254
"cārus -a -um",değerli,"Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",462
"castrum -ī n.","hisar (genelde pl. castra, kamp)","İsim: 2. Çekim Grubu","Savaş ve Barış",224
"castus -a -um","temiz, saf, nezih","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",838
"cāsus -ūs m.","düşme; ihtimal, kaza","İsim: 4. Çekim Grubu",Şiddet,344
"caveō cavēre cāvī cautum","kaçınmak, -den sakınmak","Fiil: 2. Çekim Grubu",Şiddet,941
"causa -ae f.","neden, mazeret; causā + gen., adına, uğruna","İsim: 1. Çekim Grubu","Konuşma / Retorik",107
"cēdō cēdere cessī cessum","gitmek, ayrılmak; çekilmek","Fiil: 3. Çekim Grubu, -ō bitimli","Savaş ve Barış",304
"celebrō -āre","dadanmak, üşüşmek, toplanmak","Fiil: 1. Çekim Grubu",Kent,893
"celer -is -e",çevik,"Sıfat: 3. Çekim Grubu",Zaman,745
celeriter,hızlıca,Zarf,Zaman,967
"cēnseō cēnsēre cēnsuī cēnsum","değer biçmek, takdir etmek; görüş belirtmek, karar vermek","Fiil: 2. Çekim Grubu","Eğitim / Bilgi",928
centum,"yüz sayısı","Sıfat: Sayı",Ölçüm,730
"cernō cernere crēvī crētum","sezinlemek, farkına varmak","Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",655
certē,"elbette, kuşkusuz",Zarf,Ölçüm,601
"certō -āre","müsabakayla karar vermek; yarışmak, muharebe etmek, rekabet etmek","Fiil: 1. Çekim Grubu",Atletizm,864
"certus -a -um","kararlı, sabit","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,285
cēterum,"bunun dışında, üstelik, her nasıl olursa olsun",Zarf,"Zamir / Soru Zamiri",571
"cēterus -a -um","öteki, diğer, geri kalan","Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",596
"cibus -ī m.",yiyecek,"İsim: 2. Çekim Grubu","Yaşam ve Varlık",863
"cingō cingere cīnxī cīnctum","kuşatmak, çevrelemek, çevirmek","Fiil: 3. Çekim Grubu, -ō bitimli","Savaş ve Barış",814
"cinis cineris m./f.","kül, yıkıntı","İsim: 3. Çekim Grubu","Hava ve Ateş",779
circā,"çevrede (zarf., edat +acc.)",Edat,Yer,735
"citus -a -um","seri; citō, seri şekilde","Sıfat: 1. ve 2. Çekim Grubu",Zaman,590
"cīvis -is m./f.",yurttaş,"İsim: 3. Çekim Grubu",Kent,471
"cīvitās -ātis f.","yurttaşlık, devlet","İsim: 3. Çekim Grubu",Kent,346
"clāmor -ōris m.","bağırma, çağırma","İsim: 3. Çekim Grubu","Konuşma / Retorik",605
"clārus -a -um","açık, net","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",395
"classis -is f.","sınıf, ordu, filo","İsim: 3. Çekim Grubu","Savaş ve Barış",505
"claudō claudere clausī clausum","kapatmak, ikmal etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Ev / Hane",392
"coepī coepisse coeptus",başlamak,"Fiil: Düzensiz",Zaman,312
"cōgitō -āre","düşünmek, tasarlamak","Fiil: 1. Çekim Grubu","Eğitim / Bilgi",515
"cōgnōscō -gnōscere -gnōvī -gnitum","öğrenmek, tanımak","Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",339
"cōgō cōgere coēgī coāctum","bir araya getirmek, zorlamak","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",250
"cohors cohortis f.","kohort, topluluk, tabur","İsim: 3. Çekim Grubu","Savaş ve Barış",666
"colligō -ere -lēgī -lēctum","derlemek, toplamak","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",820
"colō colere coluī cultum","işlemek, ekip biçmek","Fiil: 3. Çekim Grubu, -ō bitimli","Hayvanlar / Bitkiler",333
"color -ōris m.",renk,"İsim: 3. Çekim Grubu","Görü / Görüntü",725
"coma -ae f.","saç; yapraklar","İsim: 1. Çekim Grubu",Beden,405
"comes comitis m./f.","yoldaş, ortak; refik, mürit","İsim: 3. Çekim Grubu","Sosyal Yaşam",448
"committō -mittere -mīsī -missum","katılmak, girişmek (+ dat.); icra etmek, ifa etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Sosyal Yaşam",608
"commūnis -e","ortak, umumi","Sıfat: 3. Çekim Grubu",Kent,660
"comparō -āre","hazırlamak, sağlamak; karşılaştırmak","Fiil: 1. Çekim Grubu","İş / Para",890
"compōnō -pōnere posuī positum","kurmak, inşa etmek, ayarlamak","Fiil: 3. Çekim Grubu, -ō bitimli","Yapma / Etme",443
"concēdō -cēdere -cessī -cessum","terketmek, bırakmak","Fiil: 3. Çekim Grubu, -ō bitimli","Savaş ve Barış",663
"condīciō -ōnis f.","anlaşma, itilaf","İsim: 3. Çekim Grubu","İş / Para",920
"condō -dere -didī -ditum","kurmak, inşa etmek; depolamak; saklamak, gizli tutmak","Fiil: 3. Çekim Grubu, -ō bitimli",Kent,540
"cōnferō cōnferre contulī collātum","bir yere toplamak, yığmak","Fiil: Düzensiz","Getir - Götür Fiilleri",645
"cōnficiō -ficere -fēcī -fectum","ikmal etmek, bitirmek; yok etmek, öldürmek, tüketmek","Fiil: 3. Çekim Grubu, -iō bitimli",Şiddet,894
"cōnfiteor cōnfitērī cōnfessus sum","onaylamak (bir kanıyı), itiraf etmek (bir suçu); açığa çıkarmak, göstermek","Fiil: Deponens [etken anlamlı edilgen yapılı]",Adalet,972
"coniunx coniugis m./f.","eş, koca, karı","İsim: 3. Çekim Grubu",Hane,218
"cōnor cōnārī cōnātus sum","teşebbüs etmek, denemek","Fiil: Deponens [etken anlamlı edilgen yapılı]","Yapma / Etme",905
"cōnsequor -sequī -secūtus sum","yakından izlemek, takip etmek, -den sonra gelmek","Fiil: Deponens [etken anlamlı edilgen yapılı]",Hareket,917
"cōnsilium -ī n.","plan; konsey, danıştay","İsim: 2. Çekim Grubu",Kent,217
"cōnsistō -sistere -stitī","bir yere yerleşmek; mevzilenmek, teşekkül etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Konuşma / Retorik",780
"cōnstituō -stituere -stituī -stitūtum","tertiplemek, iskân etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Yapma / Etme",652
"cōnstō -stāre -stitī","tekabül olmak; constat, -i belirlenmiştir (+ acc. ve infin.)","Fiil: 1. Çekim Grubu","Konuşma / Retorik",731
"cōnsuētūdo -inis f.","âdet, alışkanlık","İsim: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",954
"cōnsul -ulis m.",konsül,"İsim: 3. Çekim Grubu",Kent,321
"cōnsulō -sulere -suluī -sultum","müzakere etmek, planlamak (+ acc.); -in çıkarlarını gözetmek (+dat.)","Fiil: 3. Çekim Grubu, -ō bitimli",Kent,757
"cōnsūmō -sūmere -sūmpsī -sūmptum","kullanıp bitirmek, tüketmek","Fiil: 3. Çekim Grubu, -ō bitimli","Yaşam ve Varlık",869
"contemnō -temnere -tempsī -temptum","hakir görmek, değer vermemek, saymamak","Fiil: 3. Çekim Grubu, -ō bitimli",Duygular,615
"contineō -tinēre -tinuī -tentum","bir sınır içinde tutmak, alıkoymak","Fiil: 2. Çekim Grubu","Teşvik Edici / Emredici Fiiller",804
"contingō -tingere -tigī -tactum","dokunmak, temasta olmak","Fiil: 3. Çekim Grubu, -ō bitimli",Yer,494
contrā,"karşı, aleyhine (zarf., edat +acc.)",Edat,Yer,271
"conveniō -venīre -vēnī -ventum","içtima etmek, toplanmak; hemfikir olmak","Fiil: 4. Çekim Grubu","Sosyal Yaşam",698
"convertō -vertere -vertī -versum","döndürmek, çevirmek, tümüyle değiştirmek","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,834
"convīvium -iī n.","ziyafet, davet","İsim: 2. Çekim Grubu","Sosyal Yaşam",921
"cōpia -ae f.","bolluk; (pl.) askeri güçler","İsim: 1. Çekim Grubu","Savaş ve Barış",331
"cor cordis n.","kalp; cordī est, -le uyuşur (+ dat.)","İsim: 3. Çekim Grubu",Beden,795
"cornu -ūs n.",boynuz,"İsim: 4. Çekim Grubu","Hayvanlar / Bitkiler",591
"corpus corporis n.",beden,"İsim: 3. Çekim Grubu",Beden,75
"corrumpō -rumpere -rūpī -ruptum","harap etmek, çürütmek, mahvetmek","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,870
"crēdō crēdere crēdidī crēditum",inanmak,"Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",109
"creō -āre","yaratmak, meydana getirmek; seçmek, atamak","Fiil: 1. Çekim Grubu","Yapma / Etme",978
"crēscō crēscere crēvī crētum","hasıl olmak, büyümek","Fiil: 3. Çekim Grubu, -ō bitimli","Hayvanlar / Bitkiler",609
"crīmen -inis n.","itham, suçlama","İsim: 3. Çekim Grubu",Adalet,475
"culpa -ae f.","suç, hata, kabahat","İsim: 1. Çekim Grubu",Adalet,769
cum,"ile (edat + abl.); -diği zaman, iken, -olduğunda (bağlaç + subj.)",Edat,"Bağlaç / Zarf",10
"cūnctus -a -um",tekmil,"Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,292
"cupīdō -inis f.","arzu, istek, ihtiras","İsim: 3. Çekim Grubu",Aşk,906
"cupiō -ere -īvī -ītum",arzulamak,"Fiil: 3. Çekim Grubu, -iō bitimli",Aşk,441
cūr,neden?,Zarf,"Zamir / Soru Zamiri",404
"cūra -ae f.","itina, özen","İsim: 1. Çekim Grubu",Aşk,186
"cūrō -āre","dikkat etmek, özen göstermek, ilgilenmek (+ acc.)","Fiil: 1. Çekim Grubu",Aşk,743
"currō currere cucurrī cursum",koşmak,"Fiil: 3. Çekim Grubu, -ō bitimli",Atletizm,562
"currus -ūs m.","savaş arabası","İsim: 4. Çekim Grubu",Atletizm,491
"cursus -ūs m.","koşma, aceleyle gitme","İsim: 4. Çekim Grubu",Atletizm,351
"custōs custōdis m.",gardiyan,"İsim: 3. Çekim Grubu",Hane,622
"damnō -āre","mahkum etmek","Fiil: 1. Çekim Grubu",Adalet,751
"damnum -ī n.","zarar, ziyan","İsim: 2. Çekim Grubu",Şiddet,926
dē,"nedeniyle,-den aşağıya, hakkında (+ abl.)",Edat,Yer,46
"dēbeō dēbēre dēbuī dēbitum","borçlu olmak, yükümlü olmak","Fiil: 2. Çekim Grubu","İş / Para",155
decem,"on sayısı","Sıfat: Sayı",Ölçüm,914
"dēcernō -cernere -crēvī -crētum","kararlaştırmak, hüküm vermek","Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",800
"decet decēre decuīt","yakışır, uygun düşer, icap eder (+ acc. ve infin.)","Fiil: Şahıssız","Kişisel Özellikler / Nitelikler",718
"decus decoris n.","güzellik, ziynet; süs, şan, şeref","İsim: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",548
"dēdūcō -dūcere -dūxī -ductum","indirmek, gidip getirmek","Fiil: 3. Çekim Grubu, -ō bitimli",Seyahat,661
"dēfendō -fendere -fendī -fēnsum","savunmak, geri püskürtmek","Fiil: 3. Çekim Grubu, -ō bitimli","Savaş ve Barış",653
"dēferō -ferre -tulī -lātum","nakletmek, rapor etmek","Fiil: Düzensiz","Getir - Götür Fiilleri",805
"deficiō -ficere -fēcī -fectum","eksik olmak, tükenmek; -den ayrılmak","Fiil: 3. Çekim Grubu, -iō bitimli","Savaş ve Barış",676
deinde/dein,"ardından, sonra",Zarf,Zaman,150
dēnique,sonunda,Zarf,Zaman,796
"dēscendō -scendere -scendī -scēnsum","inmek, batmak","Fiil: 3. Çekim Grubu, -ō bitimli",Seyahat,802
"dēserō -ere dēseruī dēsertum","terketmek, bırakmak, yüzüstü bırakmak","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,544
"dēsīderō -āre","eksikliğini duymak, hasretini çekmek","Fiil: 1. Çekim Grubu",Aşk,892
"dēsinō -sinere -siī -situm","terk etmek, vazgeçmek","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,624
"dēsum -esse -fuī",bulunmamak,"Fiil: Düzensiz","İş / Para",463
"deus -ī m.; dea -ae f.","tanrı; tanrıça","İsim: 2. Çekim Grubu",Din,42
"dexter -tra -trum","sağ; dextera -ae f.: sağ el","Sıfat: 1. ve 2. Çekim Grubu",Yer,260
"dīcō dīcere dīxī dictum","söylemek; causam dīcere, dava açmak; diem dīcere, bir gün tayin etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Konuşma / Retorik",33
"diēs diēī m./f.",gün,"İsim: 5. Çekim Grubu","Zamanın Müddetleri",54
"differō differre distulī dīlātum","dağılmak; dağıtmak, ifşa etmek; seçkin olmak; ertelemek, geciktirmek","Fiil: Düzensiz","Yapma / Etme",880
"difficilis -e","kolay olmayan, zor, zahmetli","Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",861
"dīgnitās -ātis f.","değer, itibar, haysiyet","İsim: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",956
"dīgnus -a -um",lâyık,"Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",291
"dīligō -ligere -lēxī -lēctum","ihtimam göstermek, kıymet vermek, sevip saymak","Fiil: 3. Çekim Grubu, -ō bitimli",Aşk,973
"dīmittō -mittere -mīsī -missum","uzağa yollamak","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",777
"discēdō -ere -cessī -cessum","ayrılıp gitmek, çekilmek","Fiil: 3. Çekim Grubu, -ō bitimli",Seyahat,726
"disciplīna -ae f.","temrin, talimat; öğrenim, disiplin","İsim: 1. Çekim Grubu","Eğitim / Bilgi",982
"discō -ere didicī",öğrenmek,"Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",465
diū:,"uzun müddet",Zarf,Zaman,361
"dīversus -a -um","farklı, muhtelif","Sıfat: 1. ve 2. Çekim Grubu","Diğer Duyular",641
"dīves dīvitis","zengin (poetik: dīs, dītis)","Sıfat: 3. Çekim Grubu","İş / Para",564
"dīvidō -ere dīvīsī dīvīsum","bölmek, ayırmak","Fiil: 3. Çekim Grubu, -ō bitimli","Yapma / Etme",628
"dīvitiae -ārum f. pl.","servet, zenginlik","İsim: 1. Çekim Grubu","İş / Para",712
"dīvus -a -um","ilahi, tanrısal; (nesne) tanrı","Sıfat: 1. ve 2. Çekim Grubu",Din,962
"dō dare dedī datum",vermek,"Fiil: 1. Çekim Grubu","Sosyal Yaşam",28
"doceō -ēre -uī doctum",öğretmek,"Fiil: 2. Çekim Grubu","Eğitim / Bilgi",393
"doleō -ēre doluī","acı çekmek veya yas tutmak, muzdarip olmak","Fiil: 2. Çekim Grubu",Duygular,785
"dolor -ōris m.","acı, ıstırap","İsim: 3. Çekim Grubu",Duygular,193
"dolus -ī m.","hile, yalan, kurnazlık","İsim: 2. Çekim Grubu",Kandırma,701
"dominus -ī m.; domina -ae f.","efendi, sahip; ev sahibesi","İsim: 2. Çekim Grubu",Hane,241
"domus -ūs f.","ev, hane","İsim: 4. Çekim Grubu","Ev / Hane",73
dōnec,kadar,Bağlaç,Zaman,771
